Feature,GSM530360.CEL,GSM530362.CEL,GSM530364.CEL,GSM530366.CEL,GSM530368.CEL,GSM530370.CEL,GSM530372.CEL,GSM530374.CEL,GSM530376.CEL,GSM530378.CEL
100129716,4.152693887,4.377684774,4.217630153,4.457020261,4.335168696,4.27777139,4.354743734,4.498184391,4.337542716,4.373426949
100129792,6.406507248,6.107080545,6.326403332,6.25478398,6.223950062,6.634215194,6.570093617,6.906025782,6.523827227,6.745781075
100129794,3.512085269,3.585058151,3.669996511,3.547822985,3.578406376,3.791500245,3.573285255,3.564953965,3.609757994,3.731160196
100129827,4.048512626,4.011509023,3.787567927,3.749244881,3.975379048,3.932647782,3.761115509,3.864024436,3.998132039,3.780902422
100129961,3.48303347,3.6822409,3.696284939,3.616990011,3.372127242,3.580741143,3.589325057,3.915951348,3.663986164,3.553691963
100130155,3.550711774,3.587883279,3.485221451,3.439152171,3.600442607,3.552411915,3.565291339,3.617652901,3.569114615,3.48558891
100130476,3.551595619,3.393539011,3.50634949,3.47130848,3.690218585,3.543930583,3.507212831,3.575005748,3.519879416,3.528022353
100130691,3.915184877,3.942760627,4.666896952,4.250083771,4.043679971,4.431021108,3.924083433,4.273025828,4.259922884,4.470616952
100130700,3.585372021,3.583581278,3.576867852,3.593987565,3.479515105,3.544718696,3.594843741,3.557299079,3.740341088,3.632031971
100130705,3.254139893,3.620399792,3.598643896,3.485141245,3.320424415,3.431525903,3.501673742,3.598817194,3.504252914,3.518517447
100130771,3.451358386,3.660906856,3.487957856,3.582839532,3.505129177,3.41939264,3.632072007,3.757596886,3.717664395,3.786081021
100130987,4.136184918,4.132234672,4.442788182,4.335727692,3.912496807,4.242444757,3.948473956,4.09261074,4.270242988,4.405686124
100131017,5.495856302,4.941230233,5.111215195,5.527302695,4.994960835,5.168610071,5.00473645,4.826341786,5.096624122,5.183715832
100131067,4.646266224,4.589166087,4.928262646,4.960966,4.700545436,4.815139419,4.644544099,4.666180956,4.648696744,5.177107721
100131096,3.589968211,4.013964574,3.389578547,3.587353796,3.827980974,3.683349278,3.878145554,3.849965979,3.368873371,3.714000257
100131187,5.343704298,5.449651166,4.471509986,4.6634424,4.329077999,5.28614154,6.578419996,6.873150991,6.647285547,7.404376696
100131211,3.414457343,3.365019898,3.802646864,3.709767466,3.516481842,3.538155582,3.552628896,3.687611344,3.605301396,3.55286475
100131454,3.900166424,3.873788446,3.686495569,3.737546224,3.898744995,3.81103223,3.834233704,3.883768486,3.645042331,3.846720014
100131564,4.176357406,4.475476466,6.070076225,6.542157476,4.888757898,5.894897016,4.919188696,4.856883281,4.812904392,5.246861192
100131733,3.658845924,3.538245656,3.434909737,3.613589207,3.595691078,3.498972657,3.58664199,3.599055557,3.662795954,3.531360813
100131755,7.903140876,7.810372625,7.268267656,7.102752546,7.639175388,7.060029747,7.703443576,7.622289716,6.853906939,7.16938505
100131801,9.600467478,9.691615254,10.13333399,10.10830406,9.895351884,10.03353576,9.960832554,9.96353453,10.13320576,10.17073227
100131827,4.818815451,4.73653747,4.68516089,5.133465453,4.676916577,5.277313116,4.887713376,5.112250638,5.328914881,5.342269205
100131998,3.793375212,3.577354084,3.848605823,3.737048105,3.704272936,3.440558164,3.72505161,3.644547161,3.650075842,3.637765153
100132057,3.596439693,3.407700115,3.785881228,3.450504527,3.411779836,3.656536325,3.547913619,3.427107741,3.523850566,3.547913619
100132074,4.757025852,4.880874034,4.864999735,5.06601898,4.990701354,4.844288508,4.985777442,4.885269689,4.688754602,4.896656494
100132101,3.437907383,3.328439026,3.172245211,3.266225293,3.683777808,3.437586347,3.472016115,3.434917029,3.242494531,3.356453472
100132341,3.582452647,3.544709576,3.543457678,3.567709743,3.496183883,3.645745489,3.680996262,3.477971435,3.605187579,3.57994567
100132352,5.207968425,4.958497069,5.735486551,5.731436205,4.603201852,4.919392073,4.976645655,4.743126707,5.259368623,5.1984151
100132386,3.60644341,3.591915135,3.612685952,3.455024514,3.483349771,3.723245463,3.609836638,3.663532655,3.644364813,3.627262994
100132815,3.768169661,3.548991659,3.779792889,3.924564113,3.628592416,4.065498735,3.833069994,3.985114973,3.821828554,4.062389111
100132891,3.252529959,3.142179987,3.329477642,3.141204681,3.15909289,3.078086834,3.097029352,3.309671662,3.170022023,3.133178436
100133036,3.822120801,3.621647434,3.664491481,3.580858699,3.642324481,3.828551871,3.631513035,3.625663925,3.599791494,3.710094293
100133190,3.473484734,3.379185675,3.474512083,3.544510418,3.532941014,3.58794698,3.688733948,3.699421584,3.512876727,3.575259083
100133315,4.116017167,3.937148998,4.034107576,3.842599392,4.099641015,4.030412035,4.355679976,4.026935176,4.155612571,4.286301772
100134229,4.478292888,4.637701914,4.839970073,4.850991345,4.638221569,4.594584663,4.788126076,4.836361734,4.575807677,4.648356352
100134259,3.632634167,3.585391236,3.899891515,3.724978538,3.680495408,3.743835765,3.765661153,3.524041061,3.764654463,3.71215858
100144603,4.387038002,4.09614585,3.983125965,3.755673508,4.38210437,4.11224189,3.892491187,4.132869674,4.045014983,4.071343562
100147773,3.683357267,3.847997987,3.794322693,3.719016465,3.56249039,3.816470074,3.782094175,3.851307687,3.742626318,3.703827109
10015,8.169901727,8.035072075,8.853784491,8.778305646,8.375438742,8.483340968,8.182916048,8.319447701,8.469225881,8.507409462
10017,3.561686569,3.714940393,4.447314344,4.46978012,3.654926692,3.594133686,3.832452074,3.577781574,3.768725516,3.665791263
100170765,3.370504331,3.597524436,3.648837175,3.753834731,3.599940443,3.418054284,3.612370385,3.581118184,3.587241675,3.509450248
100170841,4.64272136,4.636509998,4.280297472,4.213577003,4.306369362,4.273704299,4.661732384,4.414368247,4.34732543,4.564020811
10018,5.243788572,5.026471735,9.580528603,9.928638429,5.515740727,7.560989979,5.203169942,5.473887235,7.476183908,7.178578604
100190939,4.395695967,4.028106242,3.713522537,3.793601074,4.263319287,4.041259138,3.979609094,4.049726279,4.035942127,3.940895503
100190986,5.192386302,5.292847656,5.890334524,5.90141581,4.441229899,5.398243983,5.206160153,5.420623844,5.319290758,5.314602181
10021,3.640246995,3.661304653,3.670589,3.614293208,3.709889194,3.733149373,3.676167939,3.687139669,3.577786098,3.63427535
100216545,3.843671524,3.864104486,3.874867726,3.929033171,3.834230275,3.640073808,3.924940847,4.004321364,3.801571938,4.022257621
100216546,3.496369015,3.449659394,3.726165173,3.550273653,3.415002285,3.487232593,3.529781732,3.304650499,3.529791099,3.595123258
100233209,3.451069372,3.620001611,3.598658865,3.658364568,3.592902049,3.593325866,3.475689791,3.543092998,3.262113769,3.528023797
100240734,3.554067494,3.4449884,3.493908534,3.771600922,3.386907532,3.54188388,3.689540498,3.618275147,3.518560049,3.381560547
10026,8.354332173,8.348899136,8.93003684,8.852312341,7.793388472,7.885987768,8.524567386,8.588291284,8.097445405,8.522809947
100270804,3.881508553,4.063315074,4.209552229,4.339077664,4.055245264,4.33307917,4.139018711,4.229248184,4.174030523,4.128640754
100271722,3.439936257,3.646988807,4.086013223,3.933737045,3.40089357,3.667346728,3.675315838,3.70311594,3.795303965,3.889673119
100272217,3.420446762,3.412422078,3.567524218,3.579620735,3.649119272,3.380170235,3.343033481,3.446214639,3.52819627,3.447110572
100286925,3.928858297,3.95363847,4.2328498,3.806910063,4.263328068,3.965092409,3.942953808,3.916366835,3.93447321,3.941906193
100287216,3.408971717,3.663817043,3.862309125,3.600140443,3.70420409,3.571650506,3.502825683,3.501810963,3.489683953,3.470503767
100287290,3.31983138,3.25102884,3.316576037,3.294406461,3.339226019,3.345340373,3.374271667,3.347642323,3.399477193,3.295450715
100287482,3.543592304,3.349147245,3.612676643,3.514615612,3.337401237,3.676672877,3.548829471,3.704315795,3.556052899,3.551750218
100287497,3.546760267,3.476325019,3.696616502,3.957066056,3.475679509,3.734115677,3.552739962,3.471211785,3.579431915,3.698025448
100287569,3.908906973,3.90719204,4.096150276,3.91957058,3.86579439,3.786352744,4.067159619,3.897839576,3.907271496,3.750351666
100287616,3.380366149,3.323296787,3.906818617,3.538498513,3.738832131,4.117012608,3.292922243,2.986365304,5.561590846,3.672358152
100287814,3.453620441,3.519994687,3.493089163,3.514615233,3.419674469,3.46101876,3.294413352,3.448265082,3.472672049,3.450993283
100287902,4.015462417,3.90372953,3.91179586,3.851200003,4.083325852,3.865596423,4.273774153,3.861805328,3.904833556,3.888541163
100288142,8.317017889,8.475039649,8.34541492,8.330616892,8.373464927,8.580706541,8.465264576,8.505525018,8.197230746,8.3083468
100288152,3.971505653,4.223416726,4.480762431,4.341457647,4.128106187,4.45088086,4.08443438,3.961376506,4.039112106,4.187966037
100288432,3.572603902,3.500345963,3.520079174,3.540827236,3.544365417,3.622513659,3.564119701,3.683780283,3.479010537,3.565673447
100288730,3.739815508,3.741890359,3.810451115,3.744820964,3.569952829,3.816099252,3.462025127,3.797133842,3.998585148,3.936362613
100288911,9.147419694,9.273606567,9.47174124,9.473731362,9.506154238,9.850634857,9.560513374,9.63329245,10.38303643,10.28103664
100289092,4.680220698,4.868479074,4.013024418,4.008718876,4.471135791,4.216437743,4.305142532,4.438354425,4.228663758,4.885499451
100289098,4.403792182,4.484855053,4.692158603,5.025479119,4.331101402,4.773360827,4.053944415,4.294180603,5.235457588,4.577245402
100289230,3.429420686,3.337161955,3.823201643,3.814674794,3.289954583,3.535050092,3.562036027,3.320804873,3.442882665,3.396081974
100289255,3.548242992,3.675588717,3.594286449,3.526477532,3.633355,3.629525322,3.645208348,3.633417644,3.560575445,3.682600768
100289274,4.312282531,4.270769712,4.68927373,4.405664775,3.917073846,4.037214677,4.308479106,4.298731489,4.002326952,4.312849026
100289333,4.681542443,4.665848743,4.718142098,4.553105598,4.603218621,4.589357562,4.512916506,4.595864837,4.593140051,4.626242319
100289341,4.837995742,4.799118258,4.61380255,4.660075146,4.786664212,4.631890045,4.810737929,4.824723733,4.89614003,4.829640441
100289361,4.170467225,4.184760323,3.695861912,4.332249581,4.254738889,4.203488599,4.386321457,4.429714338,4.208573556,4.175835383
100289635,5.298202563,5.32432128,5.186934568,5.316315113,5.33125011,5.10953201,5.231170816,5.136581337,5.578852583,5.553189745
100302522,4.086765423,3.922613529,3.641536073,3.427455544,3.666711154,3.783185437,3.749475918,3.836718345,3.815978033,3.605576447
100302692,4.042345905,4.030623141,5.056671175,4.999203175,3.6958506,4.570186224,3.988457039,4.013034868,4.425156192,4.355532759
100303728,3.631334655,3.758168839,3.471056079,3.655138979,3.482225278,3.718216565,3.74202813,3.790313334,3.716599437,3.487163267
100303755,8.633455239,8.807935244,7.824500476,7.857608993,8.170794565,8.320226388,8.309723731,8.423004995,8.029450385,8.350033594
100306951,6.510785768,6.501864096,6.50809929,6.371123899,6.267606225,6.123312196,6.599391992,6.286612322,6.886320931,6.634596971
100312850,3.110977487,3.096378627,3.117956295,3.296077154,3.168945335,3.154864694,3.254172012,3.19303682,3.319668684,3.291891722
10036,3.715189357,3.627227813,3.680125624,3.825501503,3.597597586,3.518838884,3.677583552,3.594799481,3.743911177,3.518515863
100381270,4.809165206,5.055680615,5.145336935,5.233866887,4.839135996,5.137997753,5.023882175,4.91156217,5.166235819,4.974827111
10040,3.949785161,4.101223925,3.795714545,3.850109156,3.890412514,4.264768103,3.930830175,4.056073101,4.311458802,4.022464016
100421577,4.055688726,3.961365571,4.19838561,4.070950767,3.931824516,4.187317159,3.779172659,4.031200256,3.897897856,3.823844979
100422737,3.467027603,3.520833735,3.463909788,3.389739193,3.556150817,3.381015446,3.53407027,3.495348929,3.362159749,3.427258282
10044,8.763396777,8.408398842,8.857256189,9.011729771,8.46452604,8.679278472,8.692508069,8.582570105,8.485254297,8.614683269
10048,3.427408425,3.349709631,3.499482162,3.390984128,3.298297424,3.529597976,3.399143321,3.446449523,3.565999571,3.501664338
100499466,7.156244745,7.110060383,7.852853383,7.771099318,7.116734391,7.515468571,7.21905203,7.348412806,7.489321232,7.61106737
100499489,5.163742612,5.102826482,5.250251751,5.038525184,4.956712594,4.983591019,5.065295908,4.981079416,4.909818913,4.810040424
100500850,5.007134548,5.482412811,4.708645911,4.505900666,5.160255008,4.807076618,5.204257776,5.324268985,4.696747604,4.920551388
100505478,3.878510396,3.878024654,3.860838535,3.54655276,3.842043147,3.980058264,3.725702138,4.078708227,4.025476388,3.826700337
100505483,3.487216644,3.404968385,3.495615942,3.568808641,3.374486791,3.376976636,3.37542409,3.374686719,3.363623656,3.466917293
100505494,5.61245811,5.663685772,6.449871792,6.765088262,4.566020854,6.2535892,5.609423517,5.752888192,6.512188752,6.649054116
100505495,8.74462787,8.783399159,9.944467151,9.940913998,7.919126219,8.975836154,8.601279292,8.743028241,9.299348795,9.810461063
100505501,5.470647448,5.801588968,3.995850733,3.891204859,5.930769789,6.396722033,5.104543906,5.183625082,6.787847533,5.101829335
100505538,4.301672601,4.500150517,4.686493852,4.570904133,4.488541018,4.564055107,4.27352729,4.155162439,4.472888174,4.421645349
