Feature,GSM272854.CEL,GSM272859.CEL,GSM272860.CEL,GSM272861.CEL,GSM272862.CEL,GSM272863.CEL,GSM272864.CEL,GSM272865.CEL,GSM272866.CEL,GSM272867.CEL,GSM272868.CEL,GSM272870.CEL
100,4.79555491911591,4.5788579753309,4.73311017096245,5.06096883554314,5.66354357862722,4.40541303936787,4.41603768256442,3.89257456955745,5.09210506539792,5.21779865497154,4.65129104521531,4.68998687693954
1000,6.18692916907709,6.3321577799049,5.97942082621376,6.37902409775639,6.58598927585469,5.22367314270457,4.89547801692602,4.80122317071287,4.43434580020967,5.83626942890112,5.38106254402428,4.33162975387687
10000,5.8394089341034,5.26228508638392,5.73491499601023,5.46373079526047,5.71249987018163,4.71903455512594,5.17217740725742,4.87390026626817,5.34943762208235,5.4555348184029,5.30585032989805,5.32665648538582
10001,5.728117466994,5.60872884499622,5.97079677772509,5.82234506199944,5.76940669810609,5.98809873227316,5.61717091815195,6.42407071216944,6.04473392524826,6.06970607910735,5.87732716323077,5.67343142061328
10003,0.954542331971349,1.00158635517264,1.46845436758854,0.953249894278824,0.933245614410392,1.11537971303257,1.52154295860219,1.23521714769908,0.832826036065716,0.953249894278824,0.894631385439096,0.979598155220537
10005,4.71523121017903,4.74951515999965,4.71835364686309,4.60346261133052,4.39983003064256,4.82570803332231,4.71116846231131,4.62629462106954,4.77651849862727,4.6709024070443,4.78596389449737,4.73955913206973
10006,6.73874055717197,6.6348600985007,6.78105056076126,6.84609184989197,6.62275440282178,7.09954080149026,5.93535941700349,7.05675504859939,6.47786046783838,6.54427848928036,6.38203830711791,6.67310382275216
10007,6.14708874771697,5.95730803883099,6.37245551117441,5.80615317457879,6.07885723967637,6.68076152559301,6.86787151996923,6.99206572244794,6.20245516122181,6.35398694332416,6.25579828940111,7.08791942684014
10009,1.69761745158658,1.25571200703803,1.50503847127935,1.6751230532411,1.46238523179009,1.89108996544641,0.999934784747406,1.55703806852054,1.22635051146041,1.46754291487249,1.48196000773486,1.62015308615132
10010,3.63199073847744,3.32134112474262,4.34328559954269,4.25161389876028,3.59008827492965,4.66432478706788,2.53481912258944,4.16348303400022,2.56072056568404,2.75863763089276,3.30970421667171,2.99552785438743
100129250,5.00693424938559,4.94539231244267,4.9105540864603,4.99564926643296,4.8936751657492,5.07543541202797,5.31416492199319,4.9158165498451,5.11492049036893,5.13584057041745,5.16866240802755,4.76766227587634
100129361,6.32850757775774,6.34466703500548,6.33881178949345,6.39913777214304,6.26508722817547,6.39441990928869,7.04613129343396,6.82503908247597,6.71366884980831,6.59158626645805,6.42815371535787,6.28564286263722
10013,1.87333957149623,2.09519615724334,2.0774244738399,2.3910888104649,1.91772328597813,1.74594317764471,2.26082883554075,1.99057050052512,2.21897247752316,2.35440588737861,2.22178552675824,2.25248830039564
100130449,1.39540479204345,1.52496345830155,1.47098251004676,1.5231227956221,1.67348538217719,1.55350141492715,1.45265389519138,1.25024595818907,1.56851199297376,1.62120373497027,1.53794517943916,1.58738391827416
100130958,1.2240675410174,0.978589373728862,0.89665357939794,0.936225843760278,0.969409894992401,0.950943666289002,0.730040141606357,0.829638798049321,1.0583617513113,0.939046312656918,0.977433084977762,1.02202587663693
100133941,1.5018516681404,1.75081584835227,1.51635351056232,1.64828914474894,1.6465876708806,3.02777390830332,2.11929504286403,2.25629226189586,1.79063205979237,1.46284484099816,1.45803703951909,1.72955181922468
10015,8.1523472078834,8.03315884413958,8.06223254796193,8.09601562963377,8.03447636352549,8.39394865694604,8.03979033393459,8.33222273264332,8.10004188211618,8.11635149741241,8.1478921933413,8.26585209552103
10016,6.70853992459627,6.7874409174725,6.6523422466088,6.71139416796556,6.79545090379191,7.1276719089045,7.04303682064596,7.1870872123076,6.96729905637533,7.16156635631182,6.81198162483602,6.71031944677717
100169750,4.10452416497757,4.1430239396503,4.13469164005092,4.0488023038951,4.04214520822696,4.0792054413423,3.75838315397913,3.83051887393316,3.9190341961992,3.86970548887849,4.0976807305698,4.28827814311634
10018,2.66138535990085,2.90502206574692,2.85989583409627,2.71476542404394,2.92788247783597,3.03050131595447,2.68413274039269,2.81889744912682,2.88605454762919,2.80001789261352,3.07264858612373,2.71553203213534
10019,7.83232127031146,7.59258030093699,7.71056296078628,7.72406502099381,7.57985779139151,7.90360673695294,7.57674249607147,8.04656048930387,7.96535870711132,7.82319285698002,7.73294783993822,7.74118617435195
1002,2.82762432104254,2.69808052641551,2.79178091385237,2.42073623294403,3.18874254085404,2.3698996209792,1.94675089044743,1.96447243094793,5.19151943151184,3.61340508578233,3.92673572334681,3.94700991887458
10020,3.8519547888609,3.54432525765363,3.6864690962623,3.93079234510145,3.72940219352717,3.74745865135882,3.82173494583935,3.62239423503219,3.86297067301399,3.68673073501147,3.77414822822748,3.48767602498115
10023,3.27030624757529,3.01827939734272,3.17183604329684,3.21913186427806,2.99009527663044,3.16408900279217,3.37559378929314,2.79772966479927,3.43058978995996,3.23299361111619,3.25619831218582,3.33857008620566
10024,5.07590861721623,4.94085491037143,4.6907858559576,4.86950567543806,4.80982501944812,4.32352935885692,4.7339315485029,4.52393641425888,5.19243358379897,5.32665648538582,5.17226210173733,5.08514816859748
10025,5.11147838418759,5.06470038743246,5.20126257688427,5.28141371657297,5.09585794591552,4.84601984490305,5.79481090270792,5.2424603599193,5.59029840059275,5.36019701735512,5.36671911431583,5.12144413121915
10026,5.61401144143786,5.55400147840206,5.80639565305465,5.69017440657567,5.84907462566134,5.27569469139463,5.09966543816013,5.13465944287484,5.92068324669869,5.77163897680127,5.84174846867458,5.66126758720141
100272147,5.50120383607823,5.67561259109166,5.78881076743105,5.5485644517498,5.54587487563321,4.86861997074479,5.26546117179203,5.24341446565859,6.17924552117115,5.53409858197113,5.75281805584948,5.77076598552131
100272228,2.70324247342222,2.78803558823715,2.36976591136986,2.65607014654454,2.673017098836,2.57394114935752,2.41987524178442,2.28990074695445,2.50029080221808,2.35423015574507,2.673017098836,2.73727410824578
100288570,4.01753846470559,4.04537263555159,4.03019348810139,3.97037048861518,3.39655941393632,3.71068367355285,3.60055669041682,3.73665892017263,3.29109612841333,3.71068367355285,3.76348873502108,3.59973680821659
100293516,3.86593355165655,4.36370525556584,3.55771046759028,3.91160888217133,3.74922997646719,3.9518792562089,4.70309982485389,4.76410202351155,4.12474956959062,4.54013052415087,4.53244471664516,4.08677596711635
1003,9.05387396777651,9.23450387998232,9.43558249696384,9.29803658906336,8.96207076528684,9.40258145350284,8.8959730142219,9.04175354985182,9.30232755997595,9.2718336871951,9.38614555058449,8.9046521207856
10036,4.49112800236307,4.49102917491533,4.5494444734063,4.27619309718215,4.52002353082812,4.07297361320348,4.52508427165754,4.62921280065493,4.37943544159446,4.61129251156529,4.3951824844703,4.23371052577222
10038,5.39151824150811,5.27480759104201,5.44677286611936,5.16962136210071,5.15606392458124,5.26484800593311,5.66157035867147,5.5277262513386,5.59224954606589,5.64938442014458,5.6298565112929,5.43337043838604
10039,4.04150581668015,3.99564047900744,4.19955639826538,3.85261566643275,4.00846126462877,4.0488023038951,4.31946181268901,3.95682718618363,3.93682518078357,4.04150581668015,4.28897012559223,4.08595796789704
1004,2.78719373305581,2.8941875736961,1.84302149041512,2.49218107702943,2.66866479505197,2.41842583935963,3.9301350843911,2.85178859595725,2.27340763664032,2.11208899890846,2.50813905334625,2.4576764079436
10040,1.85647461898966,1.809137230948,1.66390924926746,2.22395350296584,2.47772693849817,1.67544792601371,2.06074976361341,1.7707852321585,1.91741363000571,1.79709891630117,2.45303664980918,3.07930963387771
10042,5.64991940995004,5.34681665444786,5.73149048477877,5.52469258946078,5.67617915236065,5.69017440657567,5.71499042630301,5.82964125272493,5.63491148247644,5.8747066807385,5.40656705335582,5.509006308845
100422872,9.18442835791821,8.95686681844964,9.03992177903484,9.08636982388541,8.87563004516421,8.9574465880095,8.89197013917518,9.13604603951364,9.10844833450259,9.2372374298414,9.16446013924057,9.27996650997691
10043,4.31890737111363,4.25002701692296,4.29433519122947,4.16128821236191,4.42948983377321,4.49984628417952,5.10355277385329,4.31984105711287,4.59597205250533,4.52563284656995,4.2353462625847,4.31336297159585
10046,4.00492417274914,3.9513404452098,3.9495985397847,3.58392366678594,3.74233393860454,3.31727735059535,3.42861326503618,3.63996947139068,4.16436664529058,3.80030429249509,3.64285184965788,3.7604891806999
10048,5.60760854899769,5.36172267897105,5.67204570441704,5.46908388551208,5.69677197601449,5.47890987794564,4.76346606182418,5.68500626442064,5.84111172674477,5.86365658459047,5.20544403893506,5.18390218490437
10049,6.2090424323624,6.03264411542178,6.21363204447166,6.28782897031885,6.28320531806641,6.26503633998004,6.45723041499611,6.43333752666296,5.65889571023254,5.71303056940384,5.78836350756349,5.73371939806472
100499177,4.6080899605556,4.32540660394425,4.61559824990098,5.03559604895457,4.12068539865584,4.31939735325929,4.7737026858483,4.09708650066874,4.90518949121668,4.51897391486173,4.3257015173087,4.86861997074479
100500849,1.77583297441949,1.83890653272324,1.66309512733353,1.98637614753406,1.98861842517807,2.16567360531771,1.5268553417362,1.90578742085502,2.01563459569176,1.79709891630117,1.80709812905811,1.89076154750784
100505741,0.775600999689961,1.04155365099933,0.940281246782245,0.84822358125277,0.929558202322525,1.10853989973406,1.06139270629609,0.96446056345999,0.970976187610737,0.86865682184023,0.878056476393109,0.985026577317115
100506190,3.18242337120146,3.12597424876914,3.39588692079525,3.24178725658067,3.18605694166705,3.15635286807419,2.59522133415796,2.89938532666404,3.18605694166705,3.32978744544009,3.09077042058235,2.92139351662856
100506282,1.05305668170482,1.15425332981918,1.17572708398201,1.10203955584778,0.933176319622616,1.16859147337178,1.11339303816295,0.848322368331025,1.02099096888781,1.13652576055477,1.13662113691137,1.11564719743435
100506658,1.34191931553862,1.44643539114505,1.41883089480832,1.49116433929714,1.55223787824926,1.79651379664243,1.34757189683933,1.47356157918907,1.49116433929714,1.29947886510546,1.86264507985269,1.91946968849807
100506898,3.44066154772662,3.25426061704294,3.2033670759877,3.64751927705406,3.09117479744389,3.60725507707138,3.65139426221721,3.84251609833026,3.39076257483073,3.79054206205105,3.45053788637057,3.66950406283247
100507436,5.06440935658538,5.43569617231434,4.92303131267222,5.25919641618809,5.32385500458051,4.14838549962615,5.57224662745461,4.45543692309024,5.35405937490637,5.35923934226404,5.26309333743532,4.29900597318732
