Feature,GSM530359.CEL,GSM530361.CEL,GSM530363.CEL,GSM530365.CEL,GSM530367.CEL,GSM530369.CEL,GSM530371.CEL,GSM530373.CEL,GSM530375.CEL,GSM530377.CEL
10015,11.36397259,11.35234006,11.23821758,11.23682608,11.39665881,11.37979052,11.21273831,11.23364671,11.20992281,11.14328677
10016,4.109024123,4.377472231,4.385652329,4.198198745,4.315305381,4.251268858,4.279480255,4.232640077,4.352708999,4.380172924
10018,3.685298048,4.103966676,5.324933324,5.502081376,3.722865974,4.079096454,4.126022437,3.964593479,4.208125687,4.031626716
10019,10.3461275,10.30608891,9.987163139,9.948029612,10.35303611,10.26595802,10.57946411,10.50113883,10.25370303,10.37314424
1002,4.174833098,4.203170962,4.032836033,4.133146238,5.38143111,5.057486895,5.038548086,4.920709713,4.805359156,5.60340709
10020,7.172862307,7.339313311,7.189138649,7.084014505,7.021728724,7.057903479,7.233282213,7.286845108,7.369849753,7.255669584
10021,4.732746623,4.545751513,4.565706459,4.554765931,4.401159951,4.64733678,4.682513898,4.511755576,4.524243273,4.485459125
10023,5.824958089,5.638090745,6.7616381,6.658678806,6.025520744,5.896102151,6.025520744,5.546655005,5.970473295,6.308930516
10024,6.680399591,6.860553433,5.537965556,5.501243303,5.397164182,5.768668308,6.808042014,6.902709621,5.978274629,6.725408325
10025,7.024545933,6.844619876,6.763958673,6.607574972,6.976973519,6.951823101,6.5279113,6.506139745,7.00291986,6.763583684
10026,9.495311576,9.468893155,9.864530392,9.896349485,9.197190165,9.127535515,9.567199196,9.685737513,9.381519835,9.578444136
100272147,7.963382733,8.001960144,8.863636105,8.944537717,7.999986222,8.049579518,8.136714568,8.048258113,8.364831139,8.405908837
100272228,4.206597792,4.104862256,4.050728402,4.066801878,4.139142075,4.025407219,4.229426189,4.13947967,4.220448995,4.151293047
100287387,3.861278325,3.681453547,4.214683531,3.82087405,3.718703366,3.696469521,3.78487314,3.945460697,3.821701339,3.933923499
100288570,4.530490104,4.611485289,5.682965846,5.478252705,4.339914961,4.40742122,4.542379688,4.326247232,4.79863396,4.547723945
100289410,3.898614762,3.987759306,3.869267337,3.903738335,3.89207396,3.9963189,3.974636347,3.832641158,3.92937794,3.922626856
100289518,3.945062919,3.846368403,3.882711179,3.88038748,3.828525385,3.862642555,3.879088067,3.897733445,3.815663249,3.912508791
100293516,7.405734604,7.351652235,7.178809227,7.2079276,6.85324497,7.112521372,7.83737817,7.809325568,7.012189799,7.525121901
1003,11.72221066,11.4743032,11.91422933,12.10192707,12.01361775,11.99698684,11.90667528,11.8140221,11.97278444,11.78406588
10036,8.08292864,8.389874835,6.543168627,6.543280562,7.69142995,7.241193656,8.246569849,8.319931059,7.312330381,7.517240277
10038,9.307279791,9.416203642,8.323246664,8.182767197,9.085510675,8.80996211,9.272896053,9.248334745,9.084167002,8.948924605
10039,5.129112438,5.407318378,6.151788236,6.11694847,5.940663185,6.013138965,5.623625105,5.609920767,6.08606177,5.921899702
1004,4.669767963,4.723618521,4.876118792,4.979849468,4.904826375,4.839154027,4.748664769,4.879964268,4.754970032,4.778755782
10040,4.200494538,4.306347828,4.411434694,4.707088625,5.576559837,6.620236081,4.925385936,5.020443787,7.234331867,5.309330214
10042,8.159641612,7.984569525,7.46018052,7.408121137,7.670010845,7.52889569,7.624432786,7.671477247,7.367080493,7.517733726
100422872,11.73812037,11.57476232,11.43814401,11.56100113,11.53397021,11.47721049,11.41898097,11.61170822,11.61085851,11.58816451
10043,4.840128753,5.075888543,5.693645504,5.5777174,5.6772341,5.471245445,5.100173051,4.94982128,5.256409148,5.029521696
10044,3.64198022,3.901612359,3.671839408,3.804052903,3.765632202,3.754607156,3.677967072,3.838166886,3.812007454,3.699945092
10045,4.200073728,3.841705498,3.963343325,3.879982033,4.139152642,3.935014258,3.98249408,3.898907281,3.840929477,3.929702302
10046,4.933545991,5.256161185,6.52730516,6.6226185,5.98001845,5.654856852,5.665490346,5.723715174,5.525807534,5.680079859
100462953,3.89159159,3.959027433,3.983447604,3.884536853,3.933728178,3.970743992,4.151935325,3.572209312,3.923318937,3.781941878
10048,8.551443945,8.464229833,8.701176982,8.89793737,8.500112761,8.441040898,8.72357538,8.781188819,8.530941364,8.613899287
10049,9.277712991,9.182971828,9.528477535,9.666335662,9.050902695,9.424151094,9.134800154,9.034081469,9.167955938,8.800030854
100499177,8.950051816,8.722897684,8.2062856,8.215512334,8.231583137,8.297588843,8.280056446,8.52852273,8.097894267,8.280211613
10050,4.091315423,4.18016597,3.990527198,3.934592326,4.070825292,4.001128119,4.120579337,4.03877208,3.873537674,3.93036104
100500849,3.621890458,3.773939306,4.291915852,4.117178951,3.648203465,4.00345234,3.680312922,3.903189358,3.934178568,4.039471209
100505494,5.563429106,5.272612049,5.089436119,5.262785546,5.36982848,5.61914359,5.37715625,5.570300031,5.597588987,5.610967746
100505498,4.041478995,4.012091426,3.972192414,3.996961808,3.996176003,3.89017693,3.95568815,3.883336298,3.713835179,3.893642077
100505761,4.557764876,4.532457549,4.612030909,4.323752285,4.291182934,4.667676779,4.673055745,4.406907608,4.610331902,4.887502911
100505879,3.987119182,3.926511855,4.065862556,4.070505289,4.086222382,4.196250697,4.017677392,3.943023557,4.127550315,3.958140337
100505915,4.020998307,3.792819862,3.813318554,4.012381875,3.898476781,3.993912917,3.634277073,3.837180252,3.925006778,3.906104656
100505933,4.261298119,4.479903319,5.134323443,4.929047635,4.237067775,4.369360028,4.045791025,4.325500312,4.48328691,4.343069444
100506190,4.879877793,4.975035556,5.51657195,5.698983763,5.464599438,5.362514446,4.644261899,4.70837911,5.073207508,4.931403304
100506282,4.019751931,4.025616485,4.047604477,4.2524913,3.853854043,4.094203762,4.044453247,4.057228671,4.143620147,4.158692304
100506469,6.056943366,6.196349869,6.016469396,5.932250356,5.839734831,5.940724277,5.74517036,6.140740021,6.044636835,6.163464813
100506658,4.330290364,4.312575987,4.028193091,4.003093089,4.014587677,4.345472134,4.252627946,4.266517009,4.558859557,5.017979733
100506898,6.181300397,5.636552269,5.473159419,5.861872203,5.251653994,5.286619968,5.430760395,5.634564729,5.321973127,5.364879757
100506963,5.290951146,5.122430834,6.049356663,6.183909908,5.969600247,5.960170043,5.345902699,5.768887825,5.717153049,5.955489491
100507249,3.762000172,3.943543854,4.04970258,3.98793619,3.669573382,3.696655448,3.769762892,3.781058776,3.964452067,3.931264014
100507436,7.712937508,7.454337568,8.847963725,8.940350693,9.282489946,8.788424542,8.780360654,8.717972697,7.852701866,8.362966424
100507458,4.54562941,4.601497841,4.195925373,4.512322996,4.185565021,4.13527983,4.451682656,4.794151564,4.169286426,4.518508462
100507605,3.472933604,3.446179117,3.57221378,3.752869608,3.542168571,3.495594513,3.765447665,3.520393552,3.614020653,3.626425236
10051,10.83623949,10.76701101,9.807790659,9.827653383,9.835258529,9.855660172,10.91427041,10.94772778,10.14435875,10.36318692
10052,6.610921154,6.473394095,5.360696439,5.483403196,5.372748228,5.24349606,5.828754357,5.170347573,5.307811895,5.185410316
10054,11.08226529,11.07642208,10.66651425,10.62891489,10.87450106,10.68148516,10.899987,10.92869569,10.46158372,10.72686949
10055,10.96182312,10.99990614,10.35886665,10.37779354,10.2855051,10.43078517,10.79343162,10.65640256,10.43917169,10.50486318
10057,6.668867346,6.603149365,6.929605356,6.910650575,6.721927482,7.113719388,6.625109463,6.541546417,6.984157728,6.607984717
10058,6.246618899,6.24836502,6.302476856,6.219569704,5.841879443,6.78360717,6.315633477,6.750147108,5.878916754,6.312162136
10059,10.34209929,10.30066004,9.654045778,9.546398112,10.02827455,9.906494312,10.10559753,10.07658464,9.963222526,9.853373608
1006,4.631288647,4.112118474,3.892176817,4.256254449,3.990426539,3.985098575,4.488194706,4.084844073,4.056101094,3.846251955
10060,4.266096275,4.614138415,4.626243482,4.902749067,4.705114411,4.651299571,4.794966395,4.622489651,4.530351801,4.884344564
10061,9.386478495,9.371547355,8.645468025,8.552702811,9.19507718,8.998052392,9.413729532,9.432430897,9.02687469,9.028229368
10062,4.843733488,4.637963327,5.995777773,5.715427622,4.513607407,4.729116329,4.61716314,4.439293257,5.087011214,4.70435297
10066,8.739012175,8.636299855,8.633201689,8.719741575,8.918794353,8.770105534,8.548642664,8.599836448,8.369704351,8.507156601
10067,8.698884565,8.737098092,8.671655778,8.665798132,8.91054448,8.640414174,8.725299625,8.645137279,8.545794618,8.445880421
10069,8.64286433,8.691466111,8.566800691,8.646033224,8.978750393,9.087277226,8.85977912,8.838396084,9.051410557,9.001996482
10072,8.261328398,8.057587229,7.394059272,7.423955148,8.419884343,8.278866641,8.035513122,7.867538145,7.835506109,7.436329179
10073,8.857098098,8.819036251,8.769543717,8.780990869,8.897282657,9.1382672,9.138068611,9.019519917,9.147704702,9.259335032
10075,8.6452863,8.810670406,8.144102721,8.233998811,8.573466999,8.350035773,8.841427824,8.758585519,8.681448102,8.534167466
10076,4.425905389,4.904221409,4.889247324,4.641026679,4.801169502,4.855482114,5.077591689,4.708446862,5.221514611,4.695488741
10077,4.025238345,4.157560106,4.395250833,3.915724106,4.431179837,4.199048258,4.354555898,4.217992301,4.270462556,4.43441304
10078,6.789140315,6.999574752,6.551219318,6.579458034,6.907735377,6.726793439,6.725115897,6.68653177,6.717265793,6.536116677
10079,8.106291919,8.058539905,9.109091772,8.997200126,7.703419095,8.181780907,8.252652681,8.14606118,8.099166282,8.335086357
1008,3.477541077,3.796153819,3.730447128,3.74713265,3.600564163,3.670018311,3.737176181,3.765771348,3.667204581,3.790665508
10083,4.072328901,3.858735024,4.141602348,4.059653213,3.935393883,4.132505308,4.208241795,4.087331873,4.052889873,3.9602723
